,제목,아티스트,앨범명,가온지수
76,시든 꽃에 물을 주듯,HYNN(박혜원),시든 꽃에 물을 주듯,"6,274,746"
77,봄날,방탄소년단,YOU NEVER WALK ALONE,"6,014,079"
78,너를 사랑하고 있어,백현 (BAEKHYUN),낭만닥터 김사부 2 OST Part.1,"5,978,887"
79,나도 모르는 노래 (Hallelujah),김필,사이코지만 괜찮아 OST Part.5,"5,894,602"
80,Error (Feat. Loopy),ASH ISLAND,Error,"5,868,745"
81,To Die For,Sam Smith,To Die For,"5,842,842"
82,니가 왜 거기서 나와 (Narr. 고은아),영탁,니가 왜 거기서 나와,"5,715,092"
83,Stuck with U,"Ariana Grande, Justin Bieber",Stuck with U,"5,630,299"
84,Happy,태연 (TAEYEON),Happy,"5,621,300"
85,포장마차,황인욱,포장마차,"5,612,564"
86,사랑이란 멜로는 없어,전상근,사랑이란 멜로는 없어,"5,571,466"
87,12_45 (Stripped),Etham,12_45 (Stripped),"5,542,976"
88,불 좀 꺼줄래,"오반 (OVAN), 주식",불 좀 꺼줄래,"5,525,933"
89,조금 취했어 (Prod. 2soo),임재현,조금 취했어,"5,418,553"
90,어느 60대 노부부이야기,임영웅,내일은 미스터트롯 트롯 에이드 베스트,"5,243,618"
91,00_00 (Zero O`Clock),방탄소년단,MAP OF THE SOUL _ 7,"5,138,489"
92,10억뷰 (Feat. MOON),세훈&찬열,10억뷰 - The 1st Album,"5,128,106"
93,Black Swan,방탄소년단,MAP OF THE SOUL _ 7,"5,072,499"
94,바램,임영웅,내일은 미스터트롯 예선곡 베스트,"4,960,460"
95,밤편지,아이유 (IU),밤편지,"4,813,455"
96,우리 만남이,폴킴,"정규 2집 `마음, 둘`","4,668,386"
97,친구,방탄소년단,MAP OF THE SOUL _ 7,"4,608,388"
98,Senorita,"Shawn Mendes, Camila Cabello",Senorita,"4,559,859"
99,너를 그린 우주 (Insomnia2020) (Feat. 이라온),마크툽 (Maktub),Red Moon _ SUPERNOVA,"4,480,944"
100,comethru,Jeremy Zucker,"summer,","4,409,860"
101,바다,코요태(KYT),바다,"4,361,813"
102,Birthday,Anne-Marie,Birthday,"4,304,985"
103,Square (2017),백예린,Every letter I sent you.,"4,257,478"
104,비도 오고 그래서 (Feat. 신용재),헤이즈 (Heize),/// (너 먹구름 비),"4,252,535"
105,Juice,Lizzo,Juice,"4,196,754"
106,사계 (Four Seasons),태연 (TAEYEON),사계 (Four Seasons),"4,162,859"
107,사랑에 연습이 있었다면 (Prod. 2soo),임재현,사랑에 연습이 있었다면,"4,120,687"
108,사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz),사랑이 식었다고 말해도 돼,"4,074,500"
109,Moon,방탄소년단,MAP OF THE SOUL _ 7,"4,072,387"
110,아주 NICE,세븐틴,Love&Letter; repackage album,"4,040,678"
111,Dreaming,규현 (KYUHYUN),Dreaming,"4,027,841"
112,Filter,방탄소년단,MAP OF THE SOUL _ 7,"4,002,552"
113,주저하는 연인들을 위해,잔나비,전설,"3,801,684"
114,다시 만날까 봐,V.O.S,다시 만날까 봐,"3,730,932"
115,Believer,Imagine Dragons,Evolve,"3,678,981"
116,Shape of You,Ed Sheeran,÷ (Deluxe),"3,442,632"
117,이별까지는 생각 못 했어,이우,이별까지는 생각 못 했어,"3,428,069"
118,언제라도 어디에서라도,정승환,언제라도 어디에서라도,"3,415,464"
119,We are Bulletproof _ the Eternal,방탄소년단,MAP OF THE SOUL _ 7,"3,393,074"
120,별이 온다,신용재,Dear,"3,362,661"
121,Say So,Doja Cat,Hot Pink,"3,328,904"
122,니 소식,송하예,니 소식,"3,230,489"
123,시차,방탄소년단,MAP OF THE SOUL _ 7,"3,223,372"
124,나보다 더 사랑해요,김호중,나보다 더 사랑해요,"3,203,776"
125,You`re Cold (더 많이 사랑한 쪽이 아프대),헤이즈 (Heize),사이코지만 괜찮아 OST Part.1,"3,197,549"
126,Lonely Night,권진아,슬기로운 의사생활 OST Part 1,"3,181,864"
127,너에게 못했던 내 마지막 말은,다비치,너에게 못했던 내 마지막 말은,"3,179,392"
128,그대라는 시,태연 (TAEYEON),호텔 델루나 OST Part.3,"3,162,402"
129,Youth,Troye Sivan,Blue Neighbourhood (Deluxe),"3,151,806"
130,"다시 난, 여기",백예린,사랑의 불시착 OST Part 4,"3,132,361"
131,품,볼빨간사춘기,사춘기집Ⅱ 꽃 본 나비,"3,077,955"
132,Way Back Home,숀 (SHAUN),Take,"3,043,054"
133,Attention,Charlie Puth,Voicenotes,"3,022,692"
134,LALALILALA,에이프릴(APRIL),7th Mini Album `Da Capo`,"3,014,648"
135,오래된 노래,스탠딩 에그(Standing Egg),오래된 노래,"3,001,698"
136,Speechless (Full),Naomi Scott,Aladdin (Original Motion Picture Sound...,"2,972,507"
137,술이 문제야,"장혜진, 윤민수",술이 문제야,"2,972,133"
138,그때가 좋았어,케이시 (Kassy),그때가 좋았어,"2,946,045"
139,ROXANNE,Arizona Zervas,ROXANNE,"2,925,747"
140,나의 오랜 연인에게,다비치,나의 오랜 연인에게,"2,917,481"
141,기억해줘요 내 모든 날과 그때를,거미,호텔 델루나 OST Part.7,"2,913,511"
142,Stay Tonight,청하,Stay Tonight,"2,903,308"
143,보라빛 엽서,임영웅,내일은 미스터트롯 레전드 미션 베스트,"2,876,366"
144,여행,볼빨간사춘기,Red Diary Page.2,"2,845,774"
145,Watermelon Sugar,Harry Styles,Fine Line,"2,839,757"
146,넘쳐흘러,엠씨더맥스 (M.C The Max),Circular,"2,833,386"
147,Inner Child,방탄소년단,MAP OF THE SOUL _ 7,"2,816,584"
148,Sugar,Maroon 5,V (Deluxe Edition),"2,801,667"
149,Bad,Christopher,Bad,"2,781,931"
150,빌었어,창모 (CHANGMO),Boyhood,"2,766,411"
151,Blinding Lights,The Weeknd,Blinding Lights,"2,746,586"
152,숨 (Breath),샘김,사이코지만 괜찮아 OST Part.2,"2,736,305"
153,Circles,Post Malone,Hollywood`s Bleeding,"2,732,552"
154,One Call Away,Charlie Puth,Nine Track Mind (Deluxe),"2,715,357"
155,노래방에서,장범준,장범준 3집,"2,695,406"
156,막걸리 한잔,영탁,내일은 미스터트롯 데스매치 PART1,"2,669,226"
157,Forever Young,BLACKPINK,SQUARE UP,"2,636,626"
158,Obsession,EXO,OBSESSION - The 6th Album,"2,633,300"
159,있어줘요,장덕철,있어줘요,"2,632,808"
160,"아마두 (Feat. 우원재, 김효은, 넉살, Huckleberry P...","염따, 딥플로우, 팔로알토 (Paloalto), The Quiett, 사이먼 도미닉",Dingo X DAMOIM (Part 2),"2,623,814"
161,곡예사,조광일,곡예사,"2,620,974"
162,밤이 깊었네 (Drama Ver.),미도와 파라솔,슬기로운 의사생활 OST Part 10,"2,603,995"
163,시간의 바깥,아이유 (IU),Love poem,"2,585,626"
164,사계 (하루살이),엠씨더맥스 (M.C The Max),Circular,"2,578,985"
165,Rain On Me,"Lady Gaga, Ariana Grande",Rain On Me,"2,577,001"
166,너의 번호를 누르고 (Prod. 영화처럼),#안녕,너의 번호를 누르고,"2,563,013"
167,깡,비 (Rain),MY LIFE愛,"2,562,629"
168,AWay,정은지,Simple,"2,545,337"
169,BUNGEE (Fall in Love),오마이걸 (OH MY GIRL),OH MY GIRL SUMMER PACKAGE (FALL IN LOV...,"2,544,908"
170,꿈속에 너 (Feat. 전상근),에이치코드 (H:CODE),두 번째 이야기,"2,533,754"
171,Kill This Love,BLACKPINK,KILL THIS LOVE,"2,524,470"
172,삐삐,아이유 (IU),삐삐,"2,521,340"
173,워커홀릭,볼빨간사춘기,Two Five,"2,514,533"
174,BAND,"창모, Hash Swan, ASH ISLAND, 김효은",BAND,"2,484,459"
175,새 사랑,송하예,새 사랑,"2,483,884"
176,미친 소리,이예준,미친 소리,"2,480,264"
177,Never Not,Lauv,I met you when I was 18. (the playlist...,"2,456,526"
178,Dance The Night Away,TWICE,Summer Nights,"2,453,679"
179,To Be Young (Feat. Doja Cat),Anne-Marie,To Be Young,"2,447,015"
180,On My Way,"Alan Walker, Sabrina Carpenter, Farruko",On My Way,"2,424,550"
181,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,SQUARE UP,"2,408,903"
182,Feel Special,TWICE,Feel Special,"2,404,596"
183,마음이 말하는 행복 (Happiness) (Feat.이라온),마크툽 (Maktub),Red Moon _ Happiness,"2,396,216"
184,Supalonely (Feat. Gus Dapperton),BENEE,STELLA & STEVE,"2,389,105"
185,Closer (Feat. Halsey),The Chainsmokers,Collage,"2,379,423"
186,마지막처럼,BLACKPINK,마지막처럼,"2,378,166"
187,솔직하게 말해서 나,김나영,솔직하게 말해서 나,"2,365,901"
188,집돌이,폴킴,집돌이,"2,358,667"
189,서툰 이별을 하려해 (Feat.전상근),윤토벤 (YounToven),서툰 이별을 하려해,"2,350,848"
190,Be Kind,"Marshmello, Halsey",Be Kind,"2,313,163"
191,달라달라,ITZY (있지),IT`z Different,"2,305,632"
192,Into the Unknown,"Idina Menzel, AURORA",Frozen 2 (겨울왕국 2 OST),"2,299,237"
193,Love Yourself,Justin Bieber,Purpose (Deluxe Edition),"2,298,368"
194,옥탑방,엔플라잉 (N.Flying),FLY HIGH PROJECT #2 `옥탑방`,"2,297,883"
195,Tango,Abir,MINT,"2,291,768"
196,Know Me Too Well,"New Hope Club, Danna Paola",Know Me Too Well,"2,266,918"
197,My Tale,박원,사이코지만 괜찮아 OST Part.3,"2,257,881"
198,High,5 Seconds of Summer,CALM,"2,245,594"
199,FANCY,TWICE,FANCY YOU,"2,234,338"
